iter	Passed	Remaining
0	2	2300
1	4	2298
2	6	2122
3	8	2097
4	10	2025
5	12	2041
6	14	2054
7	16	2054
8	18	2052
9	20	2055
10	22	2062
11	25	2067
12	27	2059
13	29	2057
14	31	2047
15	33	2066
16	35	2063
17	37	2066
18	39	2060
19	41	2056
20	44	2059
21	46	2057
22	48	2056
23	50	2057
24	52	2056
25	54	2052
26	56	2046
27	58	2044
28	61	2042
29	63	2042
30	65	2042
31	67	2039
32	69	2040
33	71	2037
34	73	2034
35	75	2030
36	77	2029
37	80	2029
38	82	2029
39	84	2027
40	86	2026
41	88	2027
42	91	2030
43	93	2029
44	95	2028
45	97	2027
46	100	2028
47	102	2027
48	104	2026
49	106	2025
50	108	2024
51	110	2021
52	113	2020
53	115	2018
54	117	2016
55	119	2015
56	121	2012
57	123	2011
58	126	2009
59	128	2008
60	130	2006
61	132	2004
62	134	2001
63	136	1999
64	138	1996
65	141	1997
66	143	1996
67	145	1993
68	147	1992
69	149	1990
70	152	1989
71	154	1987
72	156	1984
73	158	1982
74	160	1980
75	162	1978
76	165	1978
77	167	1977
78	169	1974
79	171	1974
80	173	1972
81	176	1970
82	178	1968
83	180	1965
84	182	1964
85	184	1962
86	186	1960
87	188	1958
88	191	1955
89	193	1954
90	195	1952
91	197	1950
92	199	1947
93	201	1945
94	204	1944
95	206	1942
96	208	1941
97	210	1940
98	212	1938
99	215	1937
100	217	1935
101	219	1933
102	221	1931
103	223	1929
104	226	1927
105	228	1923
106	230	1921
107	232	1919
108	234	1916
109	236	1913
110	238	1912
111	240	1910
112	243	1908
113	245	1906
114	247	1904
115	249	1902
116	251	1901
117	253	1898
118	256	1896
119	258	1893
120	260	1890
121	262	1887
122	264	1885
123	266	1882
124	268	1879
125	270	1877
126	272	1875
127	274	1872
128	277	1870
129	279	1867
130	281	1865
131	283	1862
132	285	1860
133	287	1857
134	289	1854
135	291	1851
136	293	1848
137	295	1846
138	297	1843
139	299	1841
140	301	1838
141	303	1835
142	305	1832
143	307	1829
144	309	1826
145	311	1822
146	313	1819
147	315	1817
148	317	1815
149	319	1812
150	321	1809
151	323	1806
152	326	1804
153	328	1802
154	329	1799
155	331	1795
156	333	1791
157	335	1787
158	337	1784
159	339	1780
160	341	1777
161	342	1773
162	344	1770
163	346	1768
164	348	1765
165	350	1762
166	352	1759
167	354	1757
168	356	1754
169	358	1750
170	360	1747
171	362	1745
172	364	1743
173	366	1740
174	368	1736
175	370	1733
176	372	1730
177	373	1726
178	375	1723
179	377	1721
180	380	1719
181	382	1717
182	384	1714
183	386	1712
184	387	1709
185	389	1706
186	391	1703
187	393	1700
188	395	1698
189	397	1695
190	399	1692
191	401	1689
192	403	1686
193	405	1683
194	407	1680
195	409	1677
196	410	1674
197	412	1672
198	414	1668
199	416	1665
200	418	1662
201	420	1659
202	422	1657
203	424	1654
204	425	1651
205	428	1649
206	430	1647
207	431	1644
208	433	1641
209	435	1639
210	437	1636
211	439	1634
212	441	1632
213	443	1629
214	445	1627
215	447	1624
216	449	1621
217	451	1619
218	453	1617
219	455	1614
220	457	1611
221	459	1608
222	460	1606
223	462	1603
224	464	1600
225	466	1597
226	468	1595
227	470	1594
228	472	1592
229	474	1589
230	476	1587
231	478	1585
232	480	1582
233	482	1580
234	484	1577
235	486	1574
236	488	1571
237	490	1569
238	491	1566
239	493	1563
240	495	1560
241	497	1558
242	499	1555
243	501	1552
244	502	1549
245	504	1547
246	506	1544
247	508	1542
248	510	1539
249	512	1537
250	514	1535
251	516	1533
252	518	1531
253	520	1529
254	522	1527
255	524	1524
256	526	1522
257	528	1519
258	530	1517
259	532	1515
260	534	1513
261	536	1511
262	538	1508
263	540	1506
264	542	1503
265	543	1501
266	545	1498
267	547	1495
268	549	1493
269	551	1490
270	553	1487
271	555	1485
272	556	1483
273	558	1480
274	560	1478
275	563	1477
276	565	1475
277	567	1473
278	569	1471
279	571	1469
280	573	1466
281	575	1465
282	577	1463
283	579	1460
284	581	1458
285	583	1455
286	585	1453
287	586	1451
288	588	1448
289	590	1446
290	593	1445
291	595	1443
292	597	1440
293	598	1436
294	600	1434
295	601	1431
296	603	1429
297	605	1426
298	606	1422
299	608	1420
300	610	1418
301	612	1416
